customer_id,name,age,purchas_amount,country,date
1,Conny Evennett,19,2900,China,2026-03-23
2,Blane Chomiszewski,68,3042,United States,2026-04-10
3,Daphne Gilbert,43,3134,Indonesia,2025-06-08
4,Krishna Koop,40,4832,Jamaica,2025-08-22
5,Dody Rigge,45,2008,United States,2025-05-19
6,Rusty Rainger,39,4266,Lithuania,2025-11-08
7,Anna-diana Prigg,48,1715,China,2025-04-24
8,Eleanor Cotta,56,541,Namibia,2025-09-09
9,Bondy Ridolfi,68,3877,Indonesia,2025-09-01
10,Halsey Zukierman,22,580,Russia,2026-03-12
11,Prince Filov,22,4802,France,2026-03-20
12,Pieter Hubbert,32,553,Vietnam,2026-03-11
13,Mikey Wogan,56,2452,Sweden,2025-11-11
14,Lucas Jeggo,48,2087,China,2025-11-23
15,Alverta Gayne,67,2901,Laos,2026-04-15
16,Valry Cheson,51,3226,United States,2025-08-06
17,Trstram Neesam,27,1450,Czech Republic,2025-10-26
18,Issiah Pietraszek,35,1176,China,2025-08-03
19,Evangeline Robathon,69,1977,China,2025-05-01
20,Madelon Yuryichev,60,3353,Indonesia,2025-09-13
21,Ingrid Crumpton,31,3971,Brazil,2025-06-07
22,Gwendolyn Henken,37,1965,Russia,2025-08-04
23,Kerrie Stranaghan,57,1971,Poland,2026-01-14
24,Abner Michal,29,962,China,2025-09-24
25,Johnny Cockrill,58,3185,Sweden,2025-06-12
26,Kaylyn Deans,66,4557,Yemen,2025-09-24
27,Lyndell Abramamov,21,3128,China,2025-10-14
28,Cleve Liptrot,18,791,Mauritius,2026-01-28
29,Brucie Foxley,43,2350,Libya,2025-04-26
30,Rosamond Boord,23,3834,Indonesia,2025-04-25
31,Brigitta Konrad,36,437,Indonesia,2025-12-20
32,Helaine McMurthy,30,1695,Philippines,2026-02-23
33,Steve Attril,55,165,Poland,2026-03-14
34,Anya Wimmers,49,3074,Czech Republic,2025-07-05
35,Hirsch Brennans,70,4829,Lebanon,2026-03-06
36,Marrissa Parkes,62,2214,Philippines,2025-07-22
37,Prisca Mark,23,3028,Madagascar,2025-07-23
38,Kingston Hackney,45,4123,Indonesia,2025-07-10
39,Ave Redd,47,3176,Nigeria,2025-09-30
40,Filmer Euplate,27,2225,Indonesia,2026-01-22
41,Ethyl McDonogh,52,3920,Indonesia,2025-10-20
42,Hagan Binning,66,2097,Indonesia,2025-09-01
43,Abbot Minor,40,3564,Ireland,2025-06-06
44,Aigneis Betteridge,45,3563,Greece,2025-07-04
45,Tory Bereford,68,457,Indonesia,2025-05-29
46,Nance Lidgely,31,1696,Philippines,2025-11-26
47,Doretta Bront,54,4463,Ukraine,2025-08-10
48,Greer Obert,56,1028,Philippines,2025-09-27
49,Verney Yegorchenkov,43,2074,China,2025-11-24
50,Saw Abeles,21,2006,Mongolia,2025-12-22
51,Ignaz Murrells,19,492,Indonesia,2025-12-19
52,Klaus Donat,18,3496,French Polynesia,2026-01-25
53,Susanne Knutsen,26,4668,Portugal,2025-06-15
